heure_aggr,TP_s,date,heure,jour
2018-07-07 21:36:00,502.7389037963333,2018-07-07 21:36:00,21:36,2018/07/07
2018-07-07 21:42:00,491.29411319233327,2018-07-07 21:42:00,21:42,2018/07/07
2018-07-07 21:48:00,526.8352577968334,2018-07-07 21:48:00,21:48,2018/07/07
2018-07-07 21:54:00,501.50536619800005,2018-07-07 21:54:00,21:54,2018/07/07
2018-07-07 22:00:00,477.5821307928333,2018-07-07 22:00:00,22:00,2018/07/07
2018-07-07 22:06:00,505.48290539600004,2018-07-07 22:06:00,22:06,2018/07/07
2018-07-07 22:12:00,484.27877099799997,2018-07-07 22:12:00,22:12,2018/07/07
2018-07-07 22:18:00,471.603236997,2018-07-07 22:18:00,22:18,2018/07/07
2018-07-07 22:24:00,446.202152398,2018-07-07 22:24:00,22:24,2018/07/07
2018-07-07 22:30:00,480.0049835961667,2018-07-07 22:30:00,22:30,2018/07/07
2018-07-07 22:36:00,487.963565996,2018-07-07 22:36:00,22:36,2018/07/07
2018-07-07 22:42:00,487.963565996,2018-07-07 22:42:00,22:42,2018/07/07
2018-07-07 22:48:00,470.6948351961667,2018-07-07 22:48:00,22:48,2018/07/07
2018-07-07 22:54:00,459.7711751965,2018-07-07 22:54:00,22:54,2018/07/07
2018-07-07 23:00:00,448.54697819833336,2018-07-07 23:00:00,23:00,2018/07/07
2018-07-07 23:06:00,489.2780333943333,2018-07-07 23:06:00,23:06,2018/07/07
2018-07-07 23:12:00,483.8998751963333,2018-07-07 23:12:00,23:12,2018/07/07
2018-07-07 23:18:00,469.6349591978333,2018-07-07 23:18:00,23:18,2018/07/07
2018-07-07 23:24:00,476.08671179649997,2018-07-07 23:24:00,23:24,2018/07/07
2018-07-07 23:30:00,453.87521399450003,2018-07-07 23:30:00,23:30,2018/07/07
2018-07-07 23:36:00,451.025084395,2018-07-07 23:36:00,23:36,2018/07/07
2018-07-07 23:42:00,456.3824921955,2018-07-07 23:42:00,23:42,2018/07/07
2018-07-07 23:48:00,535.7633195988334,2018-07-07 23:48:00,23:48,2018/07/07
2018-07-07 23:54:00,551.7443663990001,2018-07-07 23:54:00,23:54,2018/07/07
2018-07-14 00:00:00,468.6204737973333,2018-07-14 00:00:00,00:00,2018/07/14
2018-07-14 00:06:00,483.33955859516664,2018-07-14 00:06:00,00:06,2018/07/14
2018-07-14 00:12:00,478.6547981955,2018-07-14 00:12:00,00:12,2018/07/14
2018-07-14 00:18:00,488.6996723958334,2018-07-14 00:18:00,00:18,2018/07/14
2018-07-14 00:24:00,478.611658798,2018-07-14 00:24:00,00:24,2018/07/14
2018-07-14 00:30:00,473.94153599733335,2018-07-14 00:30:00,00:30,2018/07/14
2018-07-14 00:36:00,475.9810781975,2018-07-14 00:36:00,00:36,2018/07/14
2018-07-14 00:42:00,495.38640659799995,2018-07-14 00:42:00,00:42,2018/07/14
2018-07-14 00:48:00,492.5403707965,2018-07-14 00:48:00,00:48,2018/07/14
2018-07-14 00:54:00,489.94275119683334,2018-07-14 00:54:00,00:54,2018/07/14
